command,action
move left,move_left
step left,move_left
go left,move_left
walk left,move_left
run left,move_left
turn left,move_left
shift left,move_left
move to the left,move_left
take a step left,move_left
head left,move_left
"if you're on the right, go left",move_left
"don't go right, move left",move_left
please move to the left,move_left
take two steps left,move_left
"if you hit a wall, go left",move_left
move slightly to the left,move_left
quickly shift left,move_left
make sure to go left,move_left
run towards the left,move_left
"don't walk right, go left",move_left
"if there's an obstacle, move left",move_left
start walking left,move_left
step to your left side,move_left
"don't head right, move left",move_left
move to the left as fast as possible,move_left
adjust your position to the left,move_left
"if you see danger, go left",move_left
head in the direction of the left,move_left
continue to move left,move_left
shift towards the left,move_left
move over to the left,move_left
run towards the left side,move_left
go left if there's a path,move_left
head left until you reach the end,move_left
"don't turn right, just move left",move_left
"if you're not sure, move left",move_left
go all the way left,move_left
shift left to avoid danger,move_left
run straight left,move_left
take one step left,move_left
keep heading left,move_left
move left immediately,move_left
"do not walk to the right, move left",move_left
move towards the left corner,move_left
take a small step left,move_left
head left and keep going,move_left
move left until you see the wall,move_left
"don't go straight, just move left",move_left
make sure you move left,move_left
turn and move left,move_left
shift over to the left side,move_left
move all the way to the left side,move_left
go left as much as possible,move_left
continue moving left,move_left
"if you're lost, go left",move_left
walk left until you reach the end,move_left
turn left and move forward,move_left
shift left if you're in trouble,move_left
"don't hesitate, go left",move_left
head left until you stop,move_left
"avoid going right, just move left",move_left
immediately step left,move_left
move to your left,move_left
shift to the left quickly,move_left
run left until you reach safety,move_left
take a step to your left side,move_left
move left when you're unsure,move_left
walk left if there's space,move_left
shift left as much as possible,move_left
run straight to the left,move_left
move left until further notice,move_left
step left and avoid obstacles,move_left
head to the left side of the path,move_left
"don't look back, just go left",move_left
"if the right side is blocked, go left",move_left
run left and don't stop,move_left
make your way left,move_left
move left once you start,move_left
turn left and keep moving,move_left
go left until the path ends,move_left
move left to avoid any trouble,move_left
run left if it's safe,move_left
move left cautiously,move_left
step left to dodge danger,move_left
keep shifting left,move_left
move left as soon as possible,move_left
walk left without stopping,move_left
"if unsure, go left",move_left
turn left when you need to move,move_left
shift left to get away,move_left
"if you're confused, just go left",move_left
move left without hesitation,move_left
run left until you reach the destination,move_left
take a quick step left,move_left
make your way to the left side,move_left
keep walking left,move_left
shift left to avoid obstacles,move_left
move right,move_right
step right,move_right
go right,move_right
walk right,move_right
